	Id	KO	KO_definition
s6188	Ps_01243	K02453	general_secretion_pathway_protein_D
s6189	Ps_01245	K02462	general_secretion_pathway_protein_M
s6190	Ps_01246	K02461	general_secretion_pathway_protein_L
s6191	Ps_01247	K02460	general_secretion_pathway_protein_K
s6192	Ps_01248	K02459	general_secretion_pathway_protein_J
s6193	Ps_01249	K02458	general_secretion_pathway_protein_I
s6194	Ps_01250	K02457	general_secretion_pathway_protein_H
s6195	Ps_01251	K02456	general_secretion_pathway_protein_G
s6196	Ps_01253	K02454	general_secretion_pathway_protein_E_[EC:7.4.2.8]
s6197	Ps_01255	K02014	iron_complex_outermembrane_recepter_protein
s6198	Ps_01256	K24116	N-acetyl-S-(2-succino)cysteine_monooxygenase_[EC:1.14.-.-]
s6199	Ps_01258	K16568	exopolysaccharide_production_protein_ExoZ_
s6200	Ps_01261	K16568	exopolysaccharide_production_protein_ExoZ_
s6201	Ps_01264	K03502	DNA_polymerase_V
s6202	Ps_01268	K14744	prophage_endopeptidase_[EC:3.4.-.-]
s6203	Ps_01269	K01449	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
s6204	Ps_01297	K06909	phage_terminase_large_subunit_
s6205	Ps_01311	K02314	replicative_DNA_helicase_[EC:5.6.2.3]_
s6206	Ps_01312	K02315	DNA_replication_protein_DnaC_
s6207	Ps_01321	K07726	putative_transcriptional_regulator
s6208	Ps_01342	K04764	integration_host_factor_subunit_alpha
s6209	Ps_01343	K01890	phenylalanyl-tRNA_synthetase_beta_chain_[EC:6.1.1.20]
s6210	Ps_01344	K01889	phenylalanyl-tRNA_synthetase_alpha_chain_[EC:6.1.1.20]
s6211	Ps_01345	K02887	large_subunit_ribosomal_protein_L20
s6212	Ps_01346	K02916	large_subunit_ribosomal_protein_L35
s6213	Ps_01347	K02520	translation_initiation_factor_IF-3_
s6214	Ps_01348	K01868	threonyl-tRNA_synthetase_[EC:6.1.1.3]
s6215	Ps_01350	K03704	cold_shock_protein
s6216	Ps_01355	K06726	D-ribose_pyranase_[EC:5.4.99.62]
s6217	Ps_01356	K00852	ribokinase_[EC:2.7.1.15]
s6218	Ps_01357	K02529	LacI_family_transcriptional_regulator_
s6219	Ps_01360	K10439	ribose_transport_system_substrate-binding_protein
s6220	Ps_01361	K05597	glutamin-(asparagin-)ase_[EC:3.5.1.38]
s6221	Ps_01361	K01424	L-asparaginase_[EC:3.5.1.1]
s6222	Ps_01364	K01150	deoxyribonuclease_I_[EC:3.1.21.1]
s6223	Ps_01366	K03563	carbon_storage_regulator
s6224	Ps_01369	K19270	mannitol-1-/sugar-/sorbitol-6-phosphatase_[EC:3.1.3.22_3.1.3.23_3.1.3.50]_
s6225	Ps_01371	K07665	two-component_system,_OmpR_family,_copper_resistance_phosphate_regulon_response_regulator_CusR
s6226	Ps_01371	K02483	two-component_system,_OmpR_family,_response_regulator
s6227	Ps_01372	K07644	two-component_system,_OmpR_family,_heavy_metal_sensor_histidine_kinase_CusS_[EC:2.7.13.3]
s6228	Ps_01374	K01304	pyroglutamyl-peptidase_[EC:3.4.19.3]
s6229	Ps_01379	K09471	gamma-glutamylputrescine_oxidase_[EC:1.4.3.-]
s6230	Ps_01380	K09471	gamma-glutamylputrescine_oxidase_[EC:1.4.3.-]
s6231	Ps_01381	K07402	xanthine_dehydrogenase_accessory_factor_
s6232	Ps_01390	K10764	O-succinylhomoserine_sulfhydrylase_[EC:2.5.1.-]
s6233	Ps_01391	K00764	amidophosphoribosyltransferase_[EC:2.4.2.14]
s6234	Ps_01392	K03558	membrane_protein_required_for_colicin_V_production
s6235	Ps_01393	K03749	DedD_protein
s6236	Ps_01394	K11754	dihydrofolate_synthase_/_folylpolyglutamate_synthase_[EC:6.3.2.12_6.3.2.17]
s6237	Ps_01395	K01963	acetyl-CoA_carboxylase_carboxyl_transferase_subunit_beta_[EC:6.4.1.2_2.1.3.15]_
s6238	Ps_01396	K01817	phosphoribosylanthranilate_isomerase_[EC:5.3.1.24]
s6239	Ps_01397	K06173	tRNA_pseudouridine38-40_synthase_[EC:5.4.99.12]_
s6240	Ps_01398	K08086	pilus_assembly_protein_FimV_
s6241	Ps_01399	K00133	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]
s6242	Ps_01400	K00133	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]
s6243	Ps_01401	K00052	3-isopropylmalate_dehydrogenase_[EC:1.1.1.85]
s6244	Ps_01404	K01704	3-isopropylmalate/(R)-2-methylmalate_dehydratase_small_subunit_[EC:4.2.1.33_4.2.1.35]
s6245	Ps_01405	K01703	3-isopropylmalate/(R)-2-methylmalate_dehydratase_large_subunit_[EC:4.2.1.33_4.2.1.35]
s6246	Ps_01407	K21023	diguanylate_cyclase_[EC:2.7.7.65]
s6247	Ps_01407	K21084	diguanylate_cyclase_[EC:2.7.7.65]
s6248	Ps_01411	K05541	tRNA-dihydrouridine_synthase_C_[EC:1.-.-.-]_
s6249	Ps_01412	K07107	acyl-CoA_thioester_hydrolase_[EC:3.1.2.-]_
s6250	Ps_01419	K01885	glutamyl-tRNA_synthetase_[EC:6.1.1.17]
s6251	Ps_01420	K03702	excinuclease_ABC_subunit_B_
s6252	Ps_01421	K00832	aromatic-amino-acid_transaminase_[EC:2.6.1.57]
s6253	Ps_01423	K21959	LysR_family_transcriptional_regulator,_cell_division_regulator
s6254	Ps_01424	K08324	succinate-semialdehyde_dehydrogenase_[EC:1.2.1.16_1.2.1.24]_
s6255	Ps_01427	K01173	endonuclease_G,_mitochondrial
s6256	Ps_01428	K02016	iron_complex_transport_system_substrate-binding_protein
s6257	Ps_01429	K02015	iron_complex_transport_system_permease_protein
s6258	Ps_01430	K02013	iron_complex_transport_system_ATP-binding_protein_[EC:7.2.2.-]
s6259	Ps_01433	K05770	translocator_protein
s6260	Ps_01434	K07240	chromate_transporter
s6261	Ps_01435	K09962	uncharacterized_protein
s6262	Ps_01436	K19666	LuxR_family_transcriptional_regulator,_quorum-sensing_system_regulator_SolR_
s6263	Ps_01449	K19813	glucose_dehydrogenase_[EC:1.1.5.9]
s6264	Ps_01458	K03790	[ribosomal_protein_S5]-alanine_N-acetyltransferase_[EC:2.3.1.267]
s6265	Ps_01460	K12262	superoxide_oxidase_[EC:1.10.3.17]
s6266	Ps_01462	K15256	tRNA_(cmo5U34)-methyltransferase_[EC:2.1.1.-]
s6267	Ps_01464	K21826	AraC_family_transcriptional_regulator,_glycine_betaine-responsive_activator
s6268	Ps_01465	K11735	GABA_permease
s6269	Ps_01468	K00799	glutathione_S-transferase_[EC:2.5.1.18]
s6270	Ps_01469	K06967	tRNA_(adenine22-N1)-methyltransferase_[EC:2.1.1.217]
s6271	Ps_01470	K05799	GntR_family_transcriptional_regulator,_transcriptional_repressor_for_pyruvate_dehydrogenase_complex
s6272	Ps_01483	K00433	non-heme_chloroperoxidase_[EC:1.11.1.10]
s6273	Ps_01490	K07112	uncharacterized_protein
s6274	Ps_01498	K03543	membrane_fusion_protein,_multidrug_efflux_system
s6275	Ps_01500	K05358	quinate_dehydrogenase_(quinone)_[EC:1.1.5.8]_
s6276	Ps_01503	K05595	multiple_antibiotic_resistance_protein_
s6277	Ps_01511	K21023	diguanylate_cyclase_[EC:2.7.7.65]
s6278	Ps_01513	K06148	ATP-binding_cassette,_subfamily_C,_bacterial
s6279	Ps_01514	K07396	putative_protein-disulfide_isomerase
s6280	Ps_01515	K07146	UPF0176_protein
s6281	Ps_01516	K05527	BolA_family_transcriptional_regulator,_general_stress-responsive_regulator
s6282	Ps_01517	K09924	uncharacterized_protein
s6283	Ps_01518	K01679	fumarate_hydratase,_class_II_[EC:4.2.1.2]
s6284	Ps_01520	K00626	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
s6285	Ps_01521	K23753	AMP-polyphosphate_phosphotransferase_[EC:2.7.4.33]
s6286	Ps_01522	K15461	tRNA_5-methylaminomethyl-2-thiouridine_biosynthesis_bifunctional_protein_[EC:2.1.1.61_1.5.-.-]
s6287	Ps_01523	K01953	asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]_
s6288	Ps_01526	K09898	uncharacterized_protein
s6289	Ps_01527	K03563	carbon_storage_regulator
s6290	Ps_01531	K19005	lipoteichoic_acid_synthase_[EC:2.7.8.20]_
s6291	Ps_01538	K13776	citronellyl-CoA_synthetase_[EC:6.2.1.-]
s6292	Ps_01540	K17229	sulfide_dehydrogenase_[flavocytochrome_c]_flavoprotein_chain_[EC:1.8.2.3]
s6293	Ps_01542	K17230	cytochrome_subunit_of_sulfide_dehydrogenase
s6294	Ps_01553	K08967	1,2-dihydroxy-3-keto-5-methylthiopentene_dioxygenase_[EC:1.13.11.53_1.13.11.54]_
s6295	Ps_01554	K05820	MFS_transporter,_PPP_family,_3-phenylpropionic_acid_transporter
s6296	Ps_01555	K01736	chorismate_synthase_[EC:4.2.3.5]
s6297	Ps_01556	K06889	uncharacterized_protein
s6298	Ps_01558	K07320	ribosomal_protein_L3_glutamine_methyltransferase_[EC:2.1.1.298]
s6299	Ps_01562	K01495	GTP_cyclohydrolase_IA_[EC:3.5.4.16]_
s6300	Ps_01566	K03300	citrate-Mg2+:H+_or_citrate-Ca2+:H+_symporter,_CitMHS_family
s6301	Ps_01567	K17737	LysR_family_transcriptional_regulator,_carnitine_catabolism_transcriptional_activator_
s6302	Ps_01568	K00799	glutathione_S-transferase_[EC:2.5.1.18]
s6303	Ps_01569	K06901	adenine/guanine/hypoxanthine_permease
s6304	Ps_01570	K06901	adenine/guanine/hypoxanthine_permease
s6305	Ps_01573	K07127	5-hydroxyisourate_hydrolase_[EC:3.5.2.17]
s6306	Ps_01575	K16842	allantoinase_[EC:3.5.2.5]
s6307	Ps_01576	K13485	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline_decarboxylase_[EC:4.1.1.97]
s6308	Ps_01577	K01477	allantoicase_[EC:3.5.3.4]
s6309	Ps_01578	K01483	ureidoglycolate_lyase_[EC:4.3.2.3]
s6310	Ps_01580	K24206	uric_acid_transporter
s6311	Ps_01582	K07001	NTE_family_protein
s6312	Ps_01583	K02517	Kdo2-lipid_IVA_lauroyltransferase/acyltransferase_[EC:2.3.1.241_2.3.1.-]
s6313	Ps_01584	K03610	septum_site-determining_protein_MinC_
s6314	Ps_01585	K03609	septum_site-determining_protein_MinD_
s6315	Ps_01586	K03608	cell_division_topological_specificity_factor
s6316	Ps_01587	K06177	tRNA_pseudouridine32_synthase_/_23S_rRNA_pseudouridine746_synthase_[EC:5.4.99.28_5.4.99.29]
s6317	Ps_01588	K01267	aspartyl_aminopeptidase_[EC:3.4.11.21]
s6318	Ps_01590	K22044	moderate_conductance_mechanosensitive_channel_
s6319	Ps_01592	K05375	MbtH_protein
s6320	Ps_01593	K00836	diaminobutyrate-2-oxoglutarate_transaminase_[EC:2.6.1.76]
s6321	Ps_01595	K01447	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
s6322	Ps_01596	K07645	two-component_system,_OmpR_family,_sensor_histidine_kinase_QseC_[EC:2.7.13.3]
s6323	Ps_01597	K07666	two-component_system,_OmpR_family,_response_regulator_QseB
s6324	Ps_01597	K02483	two-component_system,_OmpR_family,_response_regulator
s6325	Ps_01601	K02199	cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchange_protein_DsbE
s6326	Ps_01602	K03805	thiol:disulfide_interchange_protein_DsbG_
s6327	Ps_01606	K03088	RNA_polymerase_sigma-70_factor,_ECF_subfamily
s6328	Ps_01609	K22108	TetR/AcrR_family_transcriptional_regulator,_cholesterol_catabolism_regulator
s6329	Ps_01611	K13774	citronellol/citronellal_dehydrogenase
s6330	Ps_01612	K13778	geranyl-CoA_carboxylase_beta_subunit_[EC:6.4.1.5]
s6331	Ps_01613	K11731	citronellyl-CoA_dehydrogenase_[EC:1.3.99.-]
s6332	Ps_01613	K00249	acyl-CoA_dehydrogenase_[EC:1.3.8.7]
s6333	Ps_01615	K13777	geranyl-CoA_carboxylase_alpha_subunit_[EC:6.4.1.5]
s6334	Ps_01617	K09913	purine/pyrimidine-nucleoside_phosphorylase_[EC:2.4.2.1_2.4.2.2]_
s6335	Ps_01618	K07140	uncharacterized_protein
s6336	Ps_01619	K03415	two-component_system,_chemotaxis_family,_chemotaxis_protein_CheV
s6337	Ps_01623	K07029	diacylglycerol_kinase_(ATP)_[EC:2.7.1.107]_
s6338	Ps_01625	K03408	purine-binding_chemotaxis_protein_CheW_
s6339	Ps_01627	K03496	chromosome_partitioning_protein
s6340	Ps_01628	K02557	chemotaxis_protein_MotB
s6341	Ps_01628	K11892	type_VI_secretion_system_protein_ImpK
s6342	Ps_01629	K02556	chemotaxis_protein_MotA
s6343	Ps_01630	K03412	two-component_system,_chemotaxis_family,_protein-glutamate_methylesterase/glutaminase_[EC:3.1.1.61_3.5.1.44]_
s6344	Ps_01631	K03407	two-component_system,_chemotaxis_family,_sensor_kinase_CheA_[EC:2.7.13.3]_
s6345	Ps_01633	K03414	chemotaxis_protein_CheZ
s6346	Ps_01634	K03413	two-component_system,_chemotaxis_family,_chemotaxis_protein_CheY
s6347	Ps_01635	K02405	RNA_polymerase_sigma_factor_FliA
s6348	Ps_01637	K02404	flagellar_biosynthesis_protein_FlhF_
s6349	Ps_01638	K02400	flagellar_biosynthesis_protein_FlhA_
s6350	Ps_01639	K03704	cold_shock_protein
s6351	Ps_01641	K02401	flagellar_biosynthesis_protein_FlhB_
s6352	Ps_01642	K02421	flagellar_biosynthesis_protein_FliR_
s6353	Ps_01643	K02420	flagellar_biosynthesis_protein_FliQ_
s6354	Ps_01644	K02419	flagellar_biosynthesis_protein_FliP_
s6355	Ps_01645	K02418	flagellar_protein_FliO/FliZ
s6356	Ps_01646	K02417	flagellar_motor_switch_protein_FliN
s6357	Ps_01647	K02416	flagellar_motor_switch_protein_FliM
s6358	Ps_01648	K02415	flagellar_protein_FliL
s6359	Ps_01649	K02414	flagellar_hook-length_control_protein_FliK
s6360	Ps_01650	K20976	histidine_phosphotransfer_protein_HptB_
s6361	Ps_01651	K20977	two-component_system,_HptB-dependent_secretion_and_biofilm_response_regulator_
s6362	Ps_01652	K20978	HptB-dependent_secretion_and_biofilm_anti_anti-sigma_factor
s6363	Ps_01653	K02413	flagellar_protein_FliJ
s6364	Ps_01654	K02412	flagellum-specific_ATP_synthase_[EC:7.4.2.8]_
s6365	Ps_01655	K02411	flagellar_assembly_protein_FliH_
s6366	Ps_01656	K02410	flagellar_motor_switch_protein_FliG
s6367	Ps_01657	K02409	flagellar_M-ring_protein_FliF_
s6368	Ps_01658	K02408	flagellar_hook-basal_body_complex_protein_FliE
s6369	Ps_01659	K10943	two-component_system,_response_regulator_FlrC
s6370	Ps_01660	K10942	two-component_system,_sensor_histidine_kinase_FlrB_[EC:2.7.13.3]
s6371	Ps_01662	K10941	sigma-54_dependent_transcriptional_regulator,_flagellar_regulatory_protein
s6372	Ps_01663	K02423	flagellar_protein_FliT
s6373	Ps_01664	K02422	flagellar_secretion_chaperone_FliS_
s6374	Ps_01665	K02407	flagellar_hook-associated_protein_2_
s6375	Ps_01666	K06603	flagellar_protein_FlaG
s6376	Ps_01667	K02406	flagellin
s6377	Ps_01668	K00648	3-oxoacyl-[acyl-carrier-protein]_synthase_III_[EC:2.3.1.180]_
s6378	Ps_01669	K02397	flagellar_hook-associated_protein_3_FlgL
s6379	Ps_01670	K02396	flagellar_hook-associated_protein_1_
s6380	Ps_01671	K02395	peptidoglycan_hydrolase_FlgJ
s6381	Ps_01672	K02394	flagellar_P-ring_protein_FlgI_
s6382	Ps_01673	K02393	flagellar_L-ring_protein_FlgH_
s6383	Ps_01674	K02392	flagellar_basal-body_rod_protein_FlgG
s6384	Ps_01676	K03721	transcriptional_regulator_of_aroF,_aroG,_tyrA_and_aromatic_amino_acid_transport
s6385	Ps_01677	K00500	phenylalanine-4-hydroxylase_[EC:1.14.16.1]
s6386	Ps_01678	K01724	4a-hydroxytetrahydrobiopterin_dehydratase_[EC:4.2.1.96]
s6387	Ps_01679	K00813	aspartate_aminotransferase_[EC:2.6.1.1]
s6388	Ps_01680	K03269	UDP-2,3-diacylglucosamine_hydrolase_[EC:3.6.1.54]
s6389	Ps_01683	K07401	selenoprotein_W-related_protein
s6390	Ps_01684	K07001	NTE_family_protein
s6391	Ps_01686	K06075	MarR_family_transcriptional_regulator,_transcriptional_regulator_for_hemolysin_
s6392	Ps_01687	K03654	ATP-dependent_DNA_helicase_RecQ_[EC:5.6.2.4]
s6393	Ps_01688	K07039	uncharacterized_protein
s6394	Ps_01689	K09790	uncharacterized_protein
s6395	Ps_01690	K20975	two-component_system,_sensor_histidine_kinase_[EC:2.7.13.3]
s6396	Ps_01691	K09760	DNA_recombination_protein_RmuC_
s6397	Ps_01696	K06076	long-chain_fatty_acid_transport_protein
s6398	Ps_01697	K00432	glutathione_peroxidase_[EC:1.11.1.9]
s6399	Ps_01701	K02233	adenosylcobinamide-GDP_ribazoletransferase_[EC:2.7.8.26]
s6400	Ps_01704	K00768	nicotinate-nucleotide--dimethylbenzimidazole_phosphoribosyltransferase_[EC:2.4.2.21]
s6401	Ps_01705	K02231	adenosylcobinamide_kinase_/_adenosylcobinamide-phosphate_guanylyltransferase_[EC:2.7.1.156_2.7.7.62]
s6402	Ps_01707	K02232	adenosylcobyric_acid_synthase_[EC:6.3.5.10]_
s6403	Ps_01708	K02225	cobalamin_biosynthesis_protein_CobC_
s6404	Ps_01709	K02227	adenosylcobinamide-phosphate_synthase_[EC:6.3.1.10]
s6405	Ps_01710	K04719	5,6-dimethylbenzimidazole_synthase_[EC:1.13.11.79]
s6406	Ps_01711	K02224	cobyrinic_acid_a,c-diamide_synthase_[EC:6.3.5.9_6.3.5.11]
s6407	Ps_01712	K19221	cob(I)alamin_adenosyltransferase_[EC:2.5.1.17]
s6408	Ps_01716	K10763	DnaA-homolog_protein
s6409	Ps_01719	K09938	uncharacterized_protein
s6410	Ps_01720	K01933	phosphoribosylformylglycinamidine_cyclo-ligase_[EC:6.3.3.1]
s6411	Ps_01721	K11175	phosphoribosylglycinamide_formyltransferase_1_[EC:2.1.2.2]_
s6412	Ps_01727	K23361	MFS_transporter,_DHA1_family,_staphyloferrin_B_biosynthesis_exporter_
s6413	Ps_01728	K02014	iron_complex_outermembrane_recepter_protein
s6414	Ps_01729	K09912	uncharacterized_protein
s6415	Ps_01730	K04765	nucleoside_triphosphate_diphosphatase_[EC:3.6.1.9]_
s6416	Ps_01731	K00951	GTP_pyrophosphokinase_[EC:2.7.6.5]
s6417	Ps_01732	K03215	23S_rRNA_(uracil1939-C5)-methyltransferase_[EC:2.1.1.190]_
s6418	Ps_01733	K12339	S-sulfo-L-cysteine_synthase_(O-acetyl-L-serine-dependent)_[EC:2.5.1.144]_
s6419	Ps_01734	K05812	tRNA-uridine_aminocarboxypropyltransferase_[EC:2.5.1.25]
s6420	Ps_01735	K21699	LysR_family_transcriptional_regulator,_transcriptional_activator_for_bauABCD_operon
s6421	Ps_01736	K01480	agmatinase_[EC:3.5.3.11]
s6422	Ps_01737	K03307	solute:Na+_symporter,_SSS_family_
s6423	Ps_01743	K00243	uncharacterized_protein
s6424	Ps_01747	K07245	copper_resistance_protein_D_
s6425	Ps_01748	K07156	copper_resistance_protein_C_
s6426	Ps_01749	K07233	copper_resistance_protein_B_
s6427	Ps_01753	K05590	ATP-dependent_RNA_helicase_SrmB_[EC:3.6.4.13]
s6428	Ps_01754	K16053	miniconductance_mechanosensitive_channel
s6429	Ps_01755	K16137	TetR/AcrR_family_transcriptional_regulator,_transcriptional_repressor_for_nem_operon
s6430	Ps_01756	K07124	uncharacterized_protein
s6431	Ps_01757	K00344	NADPH:quinone_reductase_[EC:1.6.5.5]
s6432	Ps_01759	K01118	FMN-dependent_NADH-azoreductase_[EC:1.7.1.17]
s6433	Ps_01762	K01055	3-oxoadipate_enol-lactonase_[EC:3.1.1.24]
s6434	Ps_01764	K18893	ATP-binding_cassette,_subfamily_B,_multidrug_efflux_pump
s6435	Ps_01765	K06188	aquaporin_Z
s6436	Ps_01766	K09919	uncharacterized_protein
s6437	Ps_01770	K03088	RNA_polymerase_sigma-70_factor,_ECF_subfamily
s6438	Ps_01771	K16872	beta-ketodecanoyl-[acyl-carrier-protein]_synthase_[EC:2.3.1.207]
s6439	Ps_01772	K03578	ATP-dependent_helicase_HrpA_[EC:3.6.4.13]_
s6440	Ps_01773	K00906	isocitrate_dehydrogenase_kinase/phosphatase_[EC:2.7.11.5_3.1.3.-]
s6441	Ps_01776	K07052	CAAX_protease_family_protein_
s6442	Ps_01777	K03776	aerotaxis_receptor
s6443	Ps_01777	K03406	methyl-accepting_chemotaxis_protein
s6444	Ps_01780	K07020	uncharacterized_protein
s6445	Ps_01781	K00404	cytochrome_c_oxidase_cbb3-type_subunit_I_[EC:7.1.1.9]
s6446	Ps_01782	K00405	cytochrome_c_oxidase_cbb3-type_subunit_II
s6447	Ps_01783	K00407	cytochrome_c_oxidase_cbb3-type_subunit_IV
s6448	Ps_01784	K00406	cytochrome_c_oxidase_cbb3-type_subunit_III
s6449	Ps_01785	K00404	cytochrome_c_oxidase_cbb3-type_subunit_I_[EC:7.1.1.9]
s6450	Ps_01786	K00405	cytochrome_c_oxidase_cbb3-type_subunit_II
s6451	Ps_01787	K00407	cytochrome_c_oxidase_cbb3-type_subunit_IV
s6452	Ps_01788	K00406	cytochrome_c_oxidase_cbb3-type_subunit_III
s6453	Ps_01790	K07062	toxin_FitB_[EC:3.1.-.-]
s6454	Ps_01792	K09926	uncharacterized_protein
s6455	Ps_01793	K01533	P-type_Cu2+_transporter_[EC:7.2.2.9]_
s6456	Ps_01795	K09792	uncharacterized_protein
s6457	Ps_01796	K02495	oxygen-independent_coproporphyrinogen_III_oxidase_[EC:1.3.98.3]
s6458	Ps_01798	K01420	CRP/FNR_family_transcriptional_regulator,_anaerobic_regulatory_protein
s6459	Ps_01799	K00759	adenine_phosphoribosyltransferase_[EC:2.4.2.7]
s6460	Ps_01800	K00249	acyl-CoA_dehydrogenase_[EC:1.3.8.7]
s6461	Ps_01801	K06187	recombination_protein_RecR
s6462	Ps_01802	K23256	NADPH-dependent_curcumin_reductase_[EC:1.3.1.-]_
s6463	Ps_01803	K09747	nucleoid-associated_protein_EbfC
s6464	Ps_01804	K02343	DNA_polymerase_III_subunit_gamma/tau_[EC:2.7.7.7]
s6465	Ps_01806	K21959	LysR_family_transcriptional_regulator,_cell_division_regulator
s6466	Ps_01812	K01972	DNA_ligase_(NAD+)_[EC:6.5.1.2]_
s6467	Ps_01813	K01972	DNA_ligase_(NAD+)_[EC:6.5.1.2]_
s6468	Ps_01814	K03528	cell_division_protein_ZipA_
s6469	Ps_01818	K13481	xanthine_dehydrogenase_small_subunit_[EC:1.17.1.4]
s6470	Ps_01819	K13482	xanthine_dehydrogenase_large_subunit_[EC:1.17.1.4]
s6471	Ps_01820	K07402	xanthine_dehydrogenase_accessory_factor_
s6472	Ps_01821	K01487	guanine_deaminase_[EC:3.5.4.3]
s6473	Ps_01823	K05782	benzoate_membrane_transport_protein_
s6474	Ps_01824	K09923	uncharacterized_protein
s6475	Ps_01825	K07259	serine-type_D-Ala-D-Ala_carboxypeptidase/endopeptidase_(penicillin-binding_protein_4)_[EC:3.4.16.4_3.4.21.-]_
s6476	Ps_01827	K12297	23S_rRNA_(guanine2069-N7)-methyltransferase_/_23S_rRNA_(guanine2445-N2)-methyltransferase_[EC:2.1.1.264_2.1.1.173]
s6477	Ps_01828	K00254	dihydroorotate_dehydrogenase_[EC:1.3.5.2]
s6478	Ps_01834	K22067	two-component_system,_oxyanion-binding_sensor_
s6479	Ps_01834	K15576	nitrate/nitrite_transport_system_substrate-binding_protein
s6480	Ps_01835	K07183	two-component_system,_response_regulator_/_RNA-binding_antiterminator
s6481	Ps_01836	K02575	MFS_transporter,_NNP_family,_nitrate/nitrite_transporter
s6482	Ps_01837	K20074	PPM_family_protein_phosphatase_[EC:3.1.3.16]
s6483	Ps_01838	K00362	nitrite_reductase_(NADH)_large_subunit_[EC:1.7.1.15]
s6484	Ps_01839	K00363	nitrite_reductase_(NADH)_small_subunit_[EC:1.7.1.15]
s6485	Ps_01840	K00372	assimilatory_nitrate_reductase_catalytic_subunit_[EC:1.7.99.-]
s6486	Ps_01843	K03286	OmpA-OmpF_porin,_OOP_family_
s6487	Ps_01844	K03088	RNA_polymerase_sigma-70_factor,_ECF_subfamily
s6488	Ps_01847	K16074	zinc_transporter
s6489	Ps_01848	K02553	regulator_of_ribonuclease_activity_A
s6490	Ps_01850	K01007	pyruvate,_water_dikinase_[EC:2.7.9.2]_
s6491	Ps_01851	K09773	[pyruvate,_water_dikinase]-phosphate_phosphotransferase_/_[pyruvate,_water_dikinase]_kinase_[EC:2.7.4.28_2.7.11.33]
s6492	Ps_01853	K07790	putative_membrane_protein_PagO_
s6493	Ps_01855	K21147	sulfur-carrier_protein_adenylyltransferase/sulfurtransferase_[EC:2.7.7.80_2.7.7.-_2.8.1.11_2.8.1.-]
s6494	Ps_01855	K21029	molybdopterin-synthase_adenylyltransferase_[EC:2.7.7.80]
s6495	Ps_01857	K00640	serine_O-acetyltransferase_[EC:2.3.1.30]
s6496	Ps_01859	K01720	2-methylcitrate_dehydratase_[EC:4.2.1.79]
s6497	Ps_01860	K09788	2-methylaconitate_isomerase_[EC:5.3.3.-]
s6498	Ps_01861	K20455	2-methylcitrate_dehydratase_(2-methyl-trans-aconitate_forming)_[EC:4.2.1.117]
s6499	Ps_01863	K01659	2-methylcitrate_synthase_[EC:2.3.3.5]
s6500	Ps_01865	K03417	methylisocitrate_lyase_[EC:4.1.3.30]
s6501	Ps_01866	K22293	GntR_family_transcriptional_regulator,_rspAB_operon_transcriptional_repressor_
s6502	Ps_01866	K05799	GntR_family_transcriptional_regulator,_transcriptional_repressor_for_pyruvate_dehydrogenase_complex
s6503	Ps_01870	K01665	para-aminobenzoate_synthetase_component_I_[EC:2.6.1.85]
s6504	Ps_01871	K19166	mRNA_interferase_HigB_[EC:3.1.-.-]_
s6505	Ps_01872	K18831	HTH-type_transcriptional_regulator_/_antitoxin_HigA
s6506	Ps_01873	K02203	phosphoserine_/_homoserine_phosphotransferase_[EC:3.1.3.3_2.7.1.39]
s6507	Ps_01874	K00390	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8_1.8.4.10]
s6508	Ps_01875	K03457	nucleobase:cation_symporter-1,_NCS1_family_
s6509	Ps_01876	K16841	allantoin_racemase_[EC:5.1.99.3]
s6510	Ps_01878	K00059	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]_
s6511	Ps_01879	K17623	pseudouridine_5'-phosphatase_[EC:3.1.3.96]
s6512	Ps_01893	K00655	1-acyl-sn-glycerol-3-phosphate_acyltransferase_[EC:2.3.1.51]
s6513	Ps_01894	K03284	magnesium_transporter
s6514	Ps_01895	K22314	glucosinolate_gamma-glutamyl_hydrolase_[EC:3.4.19.16]_
s6515	Ps_01899	K00626	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
s6516	Ps_01909	K06940	uncharacterized_protein
s6517	Ps_01912	K03286	OmpA-OmpF_porin,_OOP_family_
s6518	Ps_01915	K03522	electron_transfer_flavoprotein_alpha_subunit
s6519	Ps_01916	K03521	electron_transfer_flavoprotein_beta_subunit
s6520	Ps_01917	K00311	electron-transferring-flavoprotein_dehydrogenase_[EC:1.5.5.1]
s6521	Ps_01919	K13979	alcohol_dehydrogenase_(NADP+)_[EC:1.1.1.2]_
s6522	Ps_01921	K10538	L-arabinose_transport_system_permease_protein
s6523	Ps_01922	K10539	L-arabinose_transport_system_ATP-binding_protein_[EC:7.5.2.12]
